bill_id,parliament_bill_id,bill_type,bill_title,session,event_type,event_date,house,bill_stage_numeric,bill_status,expected_commencement,processing_activities,relevance_score,relevance_tag,nlp_confidence,obligation_direction,affects_ico,source_url,ingested_at,manually_reviewed
L1-011,3825,Government,Data (Use and Access) Act 2025,2024-2026,Ping Pong,11/6/25,Both,11,Passed,8/20/25,Data protection; AI copyright; PECR; smart data,0.98,DUAA; ping pong; Lords message; AI copyright assurances; consideration of amendments,1,Mixed,TRUE,https://bills.parliament.uk/bills/3825/stages,4/16/26,TRUE
L1-012,3825,Government,Data (Use and Access) Act 2025,2024-2026,Royal Assent,19/6/2025,Both,12,Passed,8/20/25,Data protection; automated decision-making; PECR; smart data; digital identity; cookies; ICO governance,0.98,DUAA; royal assent; Data Use and Access Act 2025; data protection reform; ICO governance,1,Increases,TRUE,https://www.legislation.gov.uk/ukpga/2025/18,4/16/26,TRUE
L1-013,3137,Government,Online Safety Act 2023,2022-2023,First Reading,17/3/2022,Commons,1,Passed,1/1/24,Children's data processing; content moderation; age assurance; platform obligations; user data,0.85,Online Safety Act; OSA; children's safety; age assurance; user-to-user services; content moderation,1,Increases,FALSE,https://bills.parliament.uk/bills/3137,4/16/26,TRUE
L1-014,3137,Government,Online Safety Act 2023,2022-2023,Second Reading,19/4/2022,Commons,2,Passed,1/1/24,Children's data processing; content moderation; age assurance; platform obligations,0.85,Online Safety Act; OSA; children's safety; age assurance; second reading,1,Increases,FALSE,https://bills.parliament.uk/bills/3137/stages,4/16/26,TRUE
L1-015,3137,Government,Online Safety Act 2023,2022-2023,Committee Stage,25/4/2023,Commons,3,Passed,1/1/24,Children's data processing; content moderation; age assurance; self-harm offences,0.85,Online Safety Act; OSA; committee stage; children's safety; self-harm offence added,1,Increases,FALSE,https://bills.parliament.uk/bills/3137/stages,4/16/26,TRUE
L1-016,3137,Government,Online Safety Act 2023,2022-2023,Third Reading,6/9/23,Lords,10,Passed,1/1/24,Children's data processing; age verification; content moderation; pornography age assurance,0.85,Online Safety Act; OSA; Lords third reading; age verification; children's safety,1,Increases,FALSE,https://bills.parliament.uk/bills/3137/stages,4/16/26,TRUE
L1-017,3137,Government,Online Safety Act 2023,2022-2023,Royal Assent,26/10/2023,Both,12,Passed,1/1/24,Children's data processing; age assurance; content moderation; user-to-user services; platform data,0.85,Online Safety Act; OSA; royal assent; online safety; children's safety; age assurance; Ofcom enforcement,1,Increases,FALSE,https://www.legislation.gov.uk/ukpga/2023/50,4/16/26,TRUE
L1-018,3548,Government,Digital Markets Competition and Consumers Act 2024,2023-2024,Royal Assent,24/5/2024,Both,12,Passed,1/1/25,Consumer data processing; digital markets; competition; platform data access; SMS obligations,0.78,DMCCA; Digital Markets Competition and Consumers Act; CMA powers; strategic market status; consumer protection,1,Increases,FALSE,https://www.legislation.gov.uk/ukpga/2024/13,4/16/26,TRUE
L1-019,1111,Government,UK General Data Protection Regulation (UK GDPR),2017-2019,Royal Assent,23/5/2018,Both,12,Passed,5/25/18,All personal data processing activities,1,UK GDPR; GDPR; data protection; lawful basis; data subject rights; ICO enforcement; primary legislation,1,Increases,TRUE,https://www.legislation.gov.uk/eur/2016/679,4/16/26,TRUE
L1-020,1111,Government,UK General Data Protection Regulation (UK GDPR),2020-2021,Royal Assent,1/1/21,Both,12,Passed,1/1/21,All personal data processing activities,1,UK GDPR; Brexit; retained EU law; EUWA 2018; UK data protection; ICO enforcement,1,Clarifies,TRUE,https://www.legislation.gov.uk/eur/2016/679/contents,4/16/26,TRUE
L1-021,1111,Government,Data Protection Act 2018,2017-2019,Lords Introduction,13/9/2017,Lords,1,Passed,5/25/18,All personal data processing; law enforcement processing; intelligence services processing,1,DPA 2018; data protection; ICO enforcement; law enforcement processing; intelligence services; primary legislation,1,Increases,TRUE,https://bills.parliament.uk/bills/1849,4/16/26,TRUE
L1-022,1111,Government,Data Protection Act 2018,2017-2019,Royal Assent,23/5/2018,Both,12,Passed,5/25/18,All personal data processing; law enforcement processing; intelligence services processing; ICO regulatory functions,1,DPA 2018; data protection; royal assent; ICO enforcement; law enforcement processing; GDPR supplement; primary legislation,1,Increases,TRUE,https://www.legislation.gov.uk/ukpga/2018/12,4/16/26,TRUE
L1-023,SI 2003/2426,Government,Privacy and Electronic Communications (EC Directive) Regulations 2003 (PECR),2002-2003,Royal Assent,18/9/2003,Both,12,Passed,12/11/03,Electronic marketing; cookies; electronic communications; spam; direct marketing by phone email text fax,1,PECR; Privacy and Electronic Communications Regulations; cookies; direct marketing; spam; electronic communications; ICO enforcement; primary enforcement legislation,1,Increases,TRUE,https://www.legislation.gov.uk/uksi/2003/2426,4/16/26,TRUE
