ngo_activity_id,publication_date,ngo_name,org_type,activity_type,title,content_summary,processing_activities,topic_tags,target_org,target_type,formal_complaint,legal_action,outcome,enforcement_signal,source_url,ingested_at,nlp_confidence,manually_reviewed
M1-011,15/12/2025,Open Rights Group,Digital rights campaign,Parliamentary Submission,Joint briefing with BBW and Index on Censorship urging OSA reform or repeal,Joint briefing to MPs ahead of parliamentary debate on petition to repeal the Online Safety Act signed by 550000+ people. Argued OSA threatens user privacy through algorithmic surveillance; restricts free expression; creates discrimination risk through age verification face checks; blocks millions without ID from internet access.,Online content moderation; age verification; biometric data; user profiling,Online Safety Act; OSA repeal; age verification; facial recognition; free expression; privacy; ORG; BBW,Parliament; DSIT; Ofcom,Government,FALSE,FALSE,,0.72,https://www.eff.org/deeplinks/2025/12/eff-open-rights-group-big-brother-watch-and-index-censorship-call-uk-government,17/04/2026,0.9,TRUE
M1-012,13/06/2024,Privacy International,Digital rights research,Report,Research and advocacy on Palantir NHS data contracts,Ongoing research mapping Palantir's connections with UK state including NHS Federated Data Platform contract. Raised data protection concerns about lack of transparency in contract terms; data subject rights; international transfers; lawful basis for sensitive health data processing by a US defence contractor.,Health data processing; international transfers; lawful basis; data subject rights; special category data,Palantir; NHS; health data; international transfers; surveillance capitalism; ICO; data subject rights,NHS England; DHSC; Palantir,Public authority; Private sector,FALSE,FALSE,,0.78,https://privacyinternational.org/sites/default/files/2021-11/All%20roads%20lead%20to%20Palantir%20with%20Palantir%20response%20v3.pdf,17/04/2026,0.85,TRUE
M1-013,17/04/2024,Privacy International,Digital rights research,Parliamentary Submission,Written evidence to Science and Technology Committee inquiry on AI governance,Submitted evidence on need for binding AI regulation with strong data protection integration. Argued pro-innovation AI white paper insufficient; called for mandatory DPIAs for all high-risk AI; transparency requirements for training data; extraterritorial enforcement for UK resident data.,AI processing; DPIA obligations; training data transparency; extraterritorial enforcement,AI governance; DPIA; training data; extraterritorial; binding regulation; human rights; Privacy International,Parliament; DSIT,Government,FALSE,FALSE,,0.75,https://privacyinternational.org/long-read/5343/producing-real-change-key-highlights-our-2024-results,17/04/2026,0.85,TRUE
M1-014,19/10/2023,Foxglove,Tech justice legal,Legal Challenge,Home Office visa streaming tool legal challenge (settled 2023),Foxglove and JCWI legal challenge against Home Office algorithmic visa streaming tool. Argued AI tool directing applications to fast/slow/full-scrutiny lanes was discriminatory and lacked transparency. Home Office ultimately scrapped the tool and acknowledged its unlawful operation.,Automated decision-making; immigration data processing; algorithmic discrimination; special category data,Home Office; visa algorithm; ADM; discrimination; immigration; algorithmic transparency; Foxglove; JCWI,Home Office,Public authority,FALSE,TRUE,Home Office scrapped streaming tool; acknowledged issues. Settled 2023.,0.85,https://www.ein.org.uk/news/jcwi-and-technology-campaign-group-foxglove-launch-legal-challenge-over-home-offices-use,17/04/2026,0.9,TRUE
M1-015,21/08/2025,Foxglove,Tech justice legal,Legal Challenge,Foxglove and Global Action Plan legal challenge re hyperscale data centre approval,Planning statutory review filed against Deputy Prime Minister's decision to approve 90MW hyperscale data centre at Iver without environmental impact assessment. Argued data centres' water and power consumption requires full EIA; government failed to assess impact on local infrastructure.,Data centre operations; environmental impact; AI infrastructure,data centres; hyperscale; AI infrastructure; planning; environmental; Foxglove; judicial review,MHCLG; Angela Rayner,Government,FALSE,TRUE,Filed August 2025; ongoing,0.55,https://www.globalactionplan.org.uk/news/global-action-plan-and-foxglove-launch-legal-challenge-against-government-decision-to-force-construction-of-a-hyperscale-data-centre,17/04/2026,0.9,TRUE
M1-016,1/10/24,Foxglove,Tech justice legal,Legal Challenge,GMCDP and Foxglove challenge to DWP fraud detection algorithm,Judicial review challenge against DWP's use of automated fraud detection algorithms affecting disabled benefit claimants. Argued processing lacked lawful basis; violated rights under UK GDPR and Equality Act 2010; no meaningful human review of automated decisions adversely affecting claimants.,Automated decision-making; welfare data; algorithmic discrimination; disability data,DWP; fraud detection; ADM; disabled claimants; UK GDPR; Equality Act; judicial review; Foxglove,DWP,Public authority,FALSE,TRUE,Pre-action correspondence stage at April 2026,0.82,https://gmcdp.com/gmcdp-foxglove-legal-challenge-department-work-and-pensions-dwp-fraud-algorithm,17/04/2026,0.9,TRUE
M1-017,23/05/2023,Liberty,Human rights legal,Report,Liberty critique of facial recognition at Beyonce Cardiff concert and King's Coronation,Published legal analysis criticising police use of LFR at major public events without adequate legal framework. Argued processing disproportionate; reinforced discriminatory policing; violated Art.8 ECHR privacy rights. Called for legislative framework before any further police LFR deployments.,Biometric data processing; facial recognition; public event surveillance; special category data,Liberty; facial recognition; LFR; police; Cardiff; King's Coronation; Art.8 ECHR; proportionality,South Wales Police; Metropolitan Police,Public authority,FALSE,FALSE,,0.78,https://www.bbc.co.uk/news/uk-wales-65622404,17/04/2026,0.85,TRUE
M1-018,24/01/2025,Liberty,Human rights legal,Parliamentary Submission,Liberty briefing on DUA Bill — ICO independence and secondary objectives,Briefing opposing DUA Bill amendment removing ICO's obligation to prioritise data protection over secondary innovation and growth objectives. Argued amendment creates structural conflict of interest and risks EU adequacy. Supported Lord Clement-Jones amendment HoL122.,ICO independence; EU adequacy; data protection principles,DUA Bill; ICO independence; secondary objectives; EU adequacy; Liberty; Lord Clement-Jones; HoL122,Parliament; DSIT,Government,FALSE,FALSE,,0.75,https://www.openrightsgroup.org/app/uploads/2025/02/BRIEFING-Data-Use-and-Access-Bill-HoC-Second-Reading.pdf,17/04/2026,0.85,TRUE
M1-019,1/4/25,Foxglove,Tech justice legal,Report,Foxglove investigation into government closeness to US Big Tech AI companies,Investigation into relationships between UK government ministers and US Big Tech AI companies including Anthropic and OpenAI. Raised concerns about procurement decisions; lack of transparency in GOV.UK Chat supplier selection; adequacy of data protection assessments for government AI contracts.,AI procurement; government data; lawful basis; international transfers,Foxglove; Big Tech; government AI; Anthropic; OpenAI; procurement; transparency; GOV.UK Chat,DSIT; Cabinet Office; GDS,Government,FALSE,FALSE,,0.7,https://www.foxglove.org.uk/2025/05/22/government-wallet-inspected-big-tech/,17/04/2026,0.85,TRUE
M1-020,25/07/2025,Open Rights Group,Digital rights campaign,Report,ORG briefing on OSA age verification and privacy implications,Policy brief examining privacy risks of age assurance mechanisms required under Online Safety Act. Argued biometric age verification creates disproportionate processing of special category data; alternative methods such as device-based verification should be preferred. Submitted to Ofcom consultation.,Biometric data processing; age verification; special category data; children's data,OSA; age verification; biometrics; children's data; Ofcom; ICO; privacy; ORG,Ofcom; ICO,Regulator,FALSE,FALSE,,0.72,ORG briefing on OSA age verification and privacy implications,17/04/2026,0.9,TRUE
