social_id,platform,account_handle,account_name,account_category,party,party_power,post_date,raw_text,processing_activities,topic_relevence_score,topic_tags,priority_level,regulatory_stance,engagement_score,ingested_at,nlp_confidence,manually_reviewed
P5-011,X/Twitter,@Keir_Starmer,Keir Starmer,Party Leader,Labour,TRUE,13/01/2025,Artificial intelligence will deliver a decade of national renewal. For too long blockers have controlled public discourse and got in the way of growth. We are throwing the full weight of Whitehall behind AI. This is not the time for caution — it is the time to be bold.,AI infrastructure; public sector AI; AI governance,0.82,AI Action Plan; pro-growth; Labour; Starmer; National Data Library; AI superpower,Secondary,Deregulatory,42000,17/04/2026,0.85,TRUE
P5-012,X/Twitter,@Keir_Starmer,Keir Starmer,Party Leader,Labour,TRUE,14/01/2026,Deepfakes are being used to spread lies and undermine our democracy. I raised this at PMQs today — X must take responsibility. The Online Safety Act exists for a reason. Platforms that fail to tackle harmful content will face the consequences.,Deepfake image processing; platform obligations; AI-generated content,0.88,deepfakes; Online Safety Act; X; platform accountability; AI-generated content; pro-enforcement,Primary,Pro-enforcement,67000,17/04/2026,0.85,TRUE
P5-013,X/Twitter,@KemiBadenoch,Kemi Badenoch,Party Leader,Conservative,FALSE,14/01/2026,Deepfake regulation must be balanced. We need strong protections against harmful synthetic media but we cannot regulate in a way that stifles free expression or legitimate AI development. The Online Safety Act must be implemented before we add yet more layers of regulation.,AI-generated content; platform regulation; AI governance,0.82,deepfakes; Online Safety Act; balanced regulation; Conservative; Kemi Badenoch; AI,Secondary,Neutral,18000,17/04/2026,0.85,TRUE
P5-014,X/Twitter,@EdwardJDavey,Ed Davey,Party Leader,Liberal Democrats,FALSE,14/01/2026,Mandatory AI watermarking now. Every piece of AI-generated content should be clearly labelled. Platforms have no excuse for allowing deepfakes of political figures to spread. Liberal Democrats will introduce a Digital Bill of Rights to protect everyone's online rights.,AI-generated content; deepfakes; digital rights; platform transparency,0.88,deepfakes; AI watermarking; Digital Bill of Rights; Lib Dems; Ed Davey; online safety,Primary,Pro-enforcement,9600,17/04/2026,0.85,TRUE
P5-015,X/Twitter,@Nigel_Farage,Nigel Farage,Party Leader,Reform UK,FALSE,21/07/2025,The Online Safety Act is an attack on free speech. Peter Kyle wants to censor the internet and silence dissent. Reform UK will repeal this authoritarian law and restore British freedoms online. The government is using children as an excuse for censorship.,Platform obligations; online safety; content moderation,0.72,Online Safety Act; repeal; free speech; Reform UK; Farage; censorship; deregulatory,Secondary,Deregulatory,34000,17/04/2026,0.85,TRUE
P5-016,X/Twitter,@CarlaForGreen,Carla Denyer,Party Leader,Green,FALSE,17/04/2024,Big tech companies must not be allowed to hoover up our personal data to train AI systems without proper consent. The ICO must act. We need binding regulation on AI — not voluntary codes — to protect people from algorithmic discrimination and surveillance capitalism.,AI training data; personal data; algorithmic discrimination; consent,0.9,AI regulation; consent; algorithmic discrimination; Green Party; ICO; surveillance capitalism; binding regulation,Primary,Pro-enforcement,4100,17/04/2026,0.85,TRUE
P5-017,X/Twitter,@CarlaForGreen,Carla Denyer,Party Leader,Green,FALSE,1/10/25,Greens call on ICO to urgently investigate Reform UK's use of voter data after multiple reports of unsolicited targeted messaging. Data protection law applies to political parties too. The ICO must not shy away from enforcement against those with political power.,Political data processing; direct marketing; electoral data,0.88,ICO enforcement; voter data; political data; Reform UK; Green Party; PECR; data protection,Primary,Pro-enforcement,5900,17/04/2026,0.85,TRUE
P5-018,X/Twitter,@ZackPolanski,Zack Polanski,Party Leader,Green,FALSE,25/09/2025,Elected Green co-leader. My first act will be demanding the government introduce a proper AI regulator with teeth. Not the ICO stretched thin. Not voluntary codes. A dedicated regulator empowered to stop AI harms before they happen — especially for children and marginalised communities.,AI regulation; automated decision-making; children's data,0.88,Green Party; AI regulator; Zack Polanski; AI regulation; children; ICO; binding regulation,Primary,Pro-enforcement,12800,17/04/2026,0.85,TRUE
P5-019,X/Twitter,@johnnedwards_nz,John Edwards,Other,N/A,FALSE,6/12/23,Spoke at TechUK Digital Ethics Summit today. My message: authentic use of AI builds trust. Our action against Snap's My AI shows we will not hesitate to act when companies fail to protect people — especially children — from AI risks. Come to us with your AI questions.,Generative AI; DPIA; children's data; AI risk,0.95,ICO Commissioner; AI; Snap; My AI; children; DPIA; trust; enforcement,Primary,Pro-enforcement,3100,17/04/2026,0.85,TRUE
P5-020,X/Twitter,@alexdaviesjones,Alex Davies-Jones MP,Shadow Minister,Labour,FALSE,15/11/2024,As Shadow Digital Minister I am pressing the government on the timeline for AI regulation. Labour in opposition fought hard for binding rules. Now in government we must deliver. The AI Bill must come forward in 2025 — tech companies cannot be left to self-regulate indefinitely.,AI regulation; frontier AI; digital regulation,0.88,AI regulation; AI Bill; shadow minister; Alex Davies-Jones; Labour; binding regulation; DSIT,Secondary,Pro-enforcement,2400,17/04/2026,0.8,TRUE
